earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicepowerful ecuador quake kills at least 235 portoviejo  rescuers in ecuador raced to dig out people trapped un ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and adviceim at awe and saddened with the ecuadorearthquake please any donations can help the most unfortunate ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert rachelandjun our hearts are with everyone in kumamoto and ecuador whos been affected by these earthquakes  this is has been a terr ,earthquake,sympathy and support
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert noticias2000 ecuador quake death toll has risen to 233 correa just confirmed pedernales ecuadorlisto ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert pzf breaking photos major damage reported in ecuador after massive earthquake ,earthquake,infrastructure utility damage
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and adviceofficial death toll now 233 says president correa of ecuador expect the number to keep rising ecuadorearthquake ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert thejpc israeli relief org already in japan &amp ecuador after earthquakes and youre not surprise right bravo ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert samaritanspurse we are rushing aid to help ecuadorearthquake survivors see how we are helping here ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert gconnaughton toronto &amp canadian first responders amongst first in in equadorearthquake relief ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and adviceecuador earthquake in usa 272 people killed ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert reachoutww the impact of yesterdays magnitude 78 earthquake that destroyed buildings in ecuador has become even more ,earthquake,infrastructure utility damage
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert kikakhj dear kunamoto earthquake victims wish i could visit there&ampbe of any helpbut cant nowfeel frustrated&ampworried hj὇d ,earthquake,sympathy and support
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and adviceweve raised over 10000 today from 36 donors humbled by the support which will buy supplies in quito that ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and adviceretweeted prashant rao prashantrao a strong earthquake has struck ecuador leaving at least 272 people dead ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert ajit_dobhal a hotel building in shambles in manta area of ecuador  after magnitude 78 earthquke shook the region terremoto ,earthquake,infrastructure utility damage
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert unreliefchief concerned for people of ecuador affected by earthquake un is standing by to assist govt in search &amp rescue any othe ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert nicolemdo im raising money for support ecuador through scad click to donate via gofundme ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and adviceecuadors costal región has been extremely affected by last nights earthquake we need help earthquakeecuador ,earthquake,requests urgent needs
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicesolidarity in quito ecuador families giving donations iamwithecuador praywithecuador ecuador ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicedeath toll in ecuador 78 earthquake continues to rise now at 272 says president rafael correa sismoecuador ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicelewishamilton please ecuador needs international help because the 78 earthquake contributions in cruzrojaecuador ,earthquake,requests urgent needs
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert yahoonews death toll from earthquake that struck ecuador rises to 262 government minister says ,earthquake,injured dead people
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicelets donate whatever you can to kumamoto japan and ecuador earthquakerelief ,earthquake,rescue donation effort
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advicert habitat3un our thoughts are with the people of ecuador and neighbouring countries today in the aftermath of the earthquake ecuadorear ,earthquake,sympathy and support
earthquack wildfire flood hurricaneinjured dead people requests urgent needs sympathy support rescue donation effort other relevant information not humanitarian missing found people displaced people evacuations caution and advice238 dead in ecuador earthquake state of emergency declared ,earthquake,injured dead people
