powerful ecuador quake kills at least 235 portoviejo  rescuers in ecuador raced to dig out people trapped un ,earthquake,injured_or_dead_people
im at awe and saddened with the ecuadorearthquake please any donations can help the most unfortunate ,earthquake,rescue_volunteering_or_donation_effort
rt rachelandjun our hearts are with everyone in kumamoto and ecuador whos been affected by these earthquakes  this is has been a terr ,earthquake,sympathy_and_support
rt noticias2000 ecuador quake death toll has risen to 233 correa just confirmed pedernales ecuadorlisto ,earthquake,injured_or_dead_people
rt pzf breaking photos major damage reported in ecuador after massive earthquake ,earthquake,infrastructure_and_utility_damage
official death toll now 233 says president correa of ecuador expect the number to keep rising ecuadorearthquake ,earthquake,injured_or_dead_people
rt thejpc israeli relief org already in japan &amp ecuador after earthquakes and youre not surprise right bravo ,earthquake,rescue_volunteering_or_donation_effort
rt samaritanspurse we are rushing aid to help ecuadorearthquake survivors see how we are helping here ,earthquake,rescue_volunteering_or_donation_effort
rt gconnaughton toronto &amp canadian first responders amongst first in in equadorearthquake relief ,earthquake,rescue_volunteering_or_donation_effort
ecuador earthquake in usa 272 people killed ,earthquake,injured_or_dead_people
rt reachoutww the impact of yesterdays magnitude 78 earthquake that destroyed buildings in ecuador has become even more ,earthquake,infrastructure_and_utility_damage
rt kikakhj dear kunamoto earthquake victims wish i could visit there&ampbe of any helpbut cant nowfeel frustrated&ampworried hj὇d ,earthquake,sympathy_and_support
weve raised over 10000 today from 36 donors humbled by the support which will buy supplies in quito that ,earthquake,rescue_volunteering_or_donation_effort
retweeted prashant rao prashantrao a strong earthquake has struck ecuador leaving at least 272 people dead ,earthquake,injured_or_dead_people
rt ajit_dobhal a hotel building in shambles in manta area of ecuador  after magnitude 78 earthquke shook the region terremoto ,earthquake,infrastructure_and_utility_damage
rt unreliefchief concerned for people of ecuador affected by earthquake un is standing by to assist govt in search &amp rescue any othe ,earthquake,rescue_volunteering_or_donation_effort
rt nicolemdo im raising money for support ecuador through scad click to donate via gofundme ,earthquake,rescue_volunteering_or_donation_effort
ecuadors costal región has been extremely affected by last nights earthquake we need help earthquakeecuador ,earthquake,requests_or_urgent_needs
solidarity in quito ecuador families giving donations iamwithecuador praywithecuador ecuador ,earthquake,rescue_volunteering_or_donation_effort
death toll in ecuador 78 earthquake continues to rise now at 272 says president rafael correa sismoecuador ,earthquake,injured_or_dead_people
lewishamilton please ecuador needs international help because the 78 earthquake contributions in cruzrojaecuador ,earthquake,requests_or_urgent_needs
rt yahoonews death toll from earthquake that struck ecuador rises to 262 government minister says ,earthquake,injured_or_dead_people
lets donate whatever you can to kumamoto japan and ecuador earthquakerelief ,earthquake,rescue_volunteering_or_donation_effort
rt habitat3un our thoughts are with the people of ecuador and neighbouring countries today in the aftermath of the earthquake ecuadorear ,earthquake,sympathy_and_support
238 dead in ecuador earthquake state of emergency declared ,earthquake,injured_or_dead_people
the ceibafoundation is collecting donations for ecuadorearthquake emergency supplies  ,earthquake,rescue_volunteering_or_donation_effort
rt sgadilondon our thoughts &amp prayers are with the people of ecuador we pray for the families of those who lost their lives in the eart ,earthquake,sympathy_and_support
rt lucho_telesur ecuador continues to experience aftershocks over 200 according to igecuador can really be felt here in coast was awoke ,earthquake,other_relevant_information
please donate to ecuadorearthquake victims my country needs you thestruts unicef un un_women taylorswift13 tokiohotel todayshow ,earthquake,rescue_volunteering_or_donation_effort
drone video captures deadly earthquake aftermath in ecuador drone video captured a collapsed highway overpass ,earthquake,infrastructure_and_utility_damage
rt nbcla here are ways you can help those affected by the devastating earthquake in ecuador this weekend ,earthquake,rescue_volunteering_or_donation_effort
earthquake along ecuadors central coast takes 241 lives we in cuenca felt sharp tremors no damage frayed nerves ,earthquake,injured_or_dead_people
rt ydanis praying for those impacted by the tragic earthquake in ecuador yesterday hoping we in nyc can rally to provide aid to those i ,earthquake,sympathy_and_support
iambeckyg please ecuador is broken right now if you will help us prayforecuador ,earthquake,requests_or_urgent_needs
rt mercealvaro ecuador quake death toll rises as world leaders offer support vía business ,earthquake,injured_or_dead_people
nbc please need help in ecuador the situation of the country is catastrophic  we need rescuers please ,earthquake,rescue_volunteering_or_donation_effort
still cant believe i lived an earthquake there are almost 233 killed and around 1557 injured ecuador ,earthquake,injured_or_dead_people
rt rehamkhan1 235 dead in ecuador in the strongest earthquake in south america since 1979 dreadful news ,earthquake,injured_or_dead_people
rt sebcevallos seeing people from all over the world sending prayers and positive vibes to ecuador warms my heart thank you for your con ,earthquake,sympathy_and_support
rt naija_pr weposted currently the earthquake has devastated buildings shops homes and cars 22 read more ,earthquake,infrastructure_and_utility_damage
rt breakingweather death toll continues to climb after 78magnitude quake in ecuador ,earthquake,injured_or_dead_people
rt earthquakesfeed top stories ecuador earthquake death toll jumps to 238 more than 1500 injured  cnn cnnecuador earthquake http ,earthquake,injured_or_dead_people
condolences to the loved ones of the victims from the ecuadorearthquake ,earthquake,sympathy_and_support
rt ripplesng 41 feared dead in powerful ecuador earthquake ,earthquake,injured_or_dead_people
rt johnkerry my heartfelt condolences to victims of earthquake in ecuador us stands ready to assist &amp support ecuadorian people in this ,earthquake,sympathy_and_support
sending prayers and good energy to all the people affected in ecuador by the earthquake prayforecuador solidaridadecuador fuerzaecuador ,earthquake,sympathy_and_support
rt debrapalermo praying for ecuador and japan these recent earthquakes are devastating &amp scary earthquake ,earthquake,sympathy_and_support
